id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
26162589,Apartment,Private room,3,1,1,2,200
26169782,House,Private room,3,1,2,4,65
26171533,Other,Entire home/apt,6,1,1,1,200
26197894,House,Private room,2,1,1,1,50
26199582,House,Private room,2,1,1,1,150
26200076,House,Private room,2,1,1,1,199
26202021,Apartment,Entire home/apt,2,2,2,2,225
26221884,Other,Entire home/apt,6,1,1,1,700
26259702,Other,Entire home/apt,4,1,1,1,140
26261610,House,Private room,1,1,1,1,68
26270938,House,Private room,2,1.5,2,2,200
26274652,Other,Entire home/apt,4,1,0,1,360
26276374,Other,Entire home/apt,2,1,2,2,130
26277460,House,Entire home/apt,4,1,1,1,200
26278417,Apartment,Private room,2,1.5,1,1,125
26280318,House,Private room,2,2.5,2,3,70
26281528,Other,Entire home/apt,4,1,1,1,275
26305824,Apartment,Entire home/apt,4,2,3,3,166
26307822,Apartment,Entire home/apt,6,1,1,1,250
26322467,Apartment,Private room,4,1,2,2,70
26323995,House,Private room,4,1,0,1,149
26336274,Other,Private room,2,1,1,1,140
26339019,Other,Entire home/apt,2,1.5,1,1,194
26339979,Other,Entire home/apt,4,2,3,5,175
26367063,House,Entire home/apt,6,1,1,3,365
26385989,Other,Entire home/apt,4,2,2,2,150
26389090,Other,Entire home/apt,6,1.5,2,2,150
26396972,Other,Entire home/apt,5,1,0,2,350
26401532,Apartment,Entire home/apt,2,0,1,1,110
26415089,House,Entire home/apt,2,1,1,2,900
26417350,Apartment,Private room,4,1,1,1,65
26429151,Apartment,Private room,2,1,1,1,129
26429308,Apartment,Private room,2,1,1,1,129
26429616,Apartment,Private room,2,1,1,1,185
26429722,Apartment,Private room,2,1,2,2,129
26445292,House,Entire home/apt,4,1,1,1,300
26468572,Apartment,Private room,2,1.5,1,1,55
26470581,Other,Private room,1,1,0,1,90
26488311,Other,Private room,2,2,2,3,125
26493403,Apartment,Entire home/apt,6,1,1,2,210
26503513,Other,Entire home/apt,3,1,1,1,100
26533564,Apartment,Private room,2,2,2,3,150
26539776,Other,Entire home/apt,3,1,3,4,298
26565582,House,Entire home/apt,7,1,1,1,2500
26566885,House,Private room,2,5,1,2,89
26571969,Other,Private room,3,1,1,2,100
26572144,Other,Private room,2,1,2,2,100
26573654,Apartment,Entire home/apt,4,1,1,1,499
26577224,House,Shared room,2,1,1,1,40
26599833,Apartment,Entire home/apt,2,2,3,4,148
26624972,House,Entire home/apt,4,3,1,1,350
26632713,House,Private room,2,1.5,1,1,78
26635036,Other,Private room,2,1,2,2,99
26635646,Other,Entire home/apt,3,3,3,6,237
26638684,House,Entire home/apt,9,1.5,1,2,250
26638788,Other,Private room,4,1,1,2,200
26639868,House,Private room,2,1,3,2,53
26643248,House,Entire home/apt,5,2,2,2,160
26666094,Other,Entire home/apt,4,2,1,1,241
26666898,Apartment,Entire home/apt,2,2,1,1,199
26667238,Apartment,Entire home/apt,2,1,2,3,192
26690454,House,Private room,5,1,1,2,57
26709189,Apartment,Entire home/apt,2,1,1,1,200
26710943,Other,Entire home/apt,2,2,2,3,165
26718342,Other,Private room,6,2,2,3,550
26718645,Other,Private room,6,1,0,2,580
26718900,House,Private room,4,1,1,1,150
26747021,Other,Entire home/apt,2,2,2,4,185
26785153,Other,Entire home/apt,5,1,2,3,299
26810896,Apartment,Entire home/apt,4,1,1,1,700
26838555,Apartment,Private room,1,1,0,2,61
26875892,Apartment,Entire home/apt,2,1,1,1,120
26909554,Apartment,Entire home/apt,2,3,5,9,300
26917786,House,Entire home/apt,15,1,1,1,316
26921699,Apartment,Entire home/apt,2,1,1,1,120
26921936,Apartment,Private room,2,2,2,2,129
26928489,Apartment,Entire home/apt,4,1.5,3,3,243
26952039,House,Entire home/apt,4,1,0,2,300
27002250,Apartment,Entire home/apt,2,1,0,1,125
27033826,Apartment,Entire home/apt,2,1,1,1,150
27056649,House,Private room,2,2.5,3,3,115
27065879,House,Entire home/apt,6,1,2,3,250
27084549,House,Entire home/apt,5,1,1,1,256
27088644,House,Private room,2,1,1,1,75
27107519,Other,Entire home/apt,4,1,1,1,245
27161084,Apartment,Private room,1,1,1,1,99
27196500,Apartment,Private room,1,2,2,2,64
27197424,Apartment,Entire home/apt,5,1,1,1,415
27203318,Other,Entire home/apt,3,1,2,2,149
27206374,Other,Entire home/apt,4,1,1,1,200
27211235,House,Private room,2,1,2,3,150
27225440,Apartment,Entire home/apt,5,1,1,1,325
27230555,Other,Entire home/apt,2,1,1,1,300
27237121,Apartment,Private room,2,1,0,1,150
27244341,Apartment,Entire home/apt,2,1,2,1,213
27253510,House,Private room,3,2,2,3,155
27254475,Other,Entire home/apt,5,1,1,1,179
27261900,House,Private room,2,1,1,1,200
27263058,Apartment,Private room,1,1,0,0,95
27263095,Apartment,Entire home/apt,2,1,0,0,125
27263130,Apartment,Entire home/apt,2,1,0,0,125
27263151,Apartment,Entire home/apt,2,1,0,0,152
27263329,Apartment,Entire home/apt,2,1,0,0,125
27263453,Apartment,Entire home/apt,2,1,1,1,125
27267054,Other,Private room,2,1,1,1,129
27309125,Apartment,Private room,2,1,2,0,170
27310099,Other,Entire home/apt,4,1,1,1,300
27312503,Apartment,Private room,6,5,6,7,121
27312690,Other,Entire home/apt,16,1,1,1,2282
27316091,Other,Private room,1,1,1,1,250
27316423,House,Private room,2,1,2,2,85
27336562,Apartment,Entire home/apt,6,1,1,1,245
27336947,Apartment,Entire home/apt,2,1,2,2,125
27363400,Apartment,Entire home/apt,4,2,4,4,170
27365212,Apartment,Entire home/apt,7,1,1,2,426
27374552,House,Private room,3,3.5,4,4,100
27375007,Other,Private room,8,5,1,4,1040
27381476,Other,Shared room,4,2.5,2,3,100
27404857,Other,Private room,6,1,1,1,850
27406019,Other,Private room,3,1,1,1,180
27427727,Apartment,Private room,2,2,2,3,125
27432456,Other,Entire home/apt,6,1,0,2,650
27437162,Apartment,Entire home/apt,3,1,0,1,220
27458484,Apartment,Entire home/apt,2,1,1,1,100
27461006,Apartment,Entire home/apt,2,1,1,1,500
27461297,Apartment,Entire home/apt,2,1,1,2,139
27462045,Apartment,Entire home/apt,4,2,1,1,249
27467934,House,Private room,1,1,1,2,65
27468147,Apartment,Entire home/apt,4,3,1,1,219
27477003,Other,Shared room,1,1,1,2,40
27486947,Other,Private room,4,1.5,3,4,290
27491473,Other,Entire home/apt,6,1,1,1,450
27491569,Apartment,Entire home/apt,2,2,4,7,225
27491571,House,Entire home/apt,8,2,2,4,700
27491792,Apartment,Entire home/apt,7,1,1,1,150
27492222,Apartment,Entire home/apt,2,1,1,2,99
27495261,Other,Entire home/apt,4,1,1,2,115
27510287,Other,Entire home/apt,3,1,2,2,195
27523751,House,Entire home/apt,6,1,2,3,153
27529992,Apartment,Entire home/apt,5,1,1,2,149
27530136,Apartment,Entire home/apt,4,2,2,3,175
27550839,House,Entire home/apt,4,1.5,1,1,295
27555509,House,Private room,2,1,2,2,115
27556897,Apartment,Entire home/apt,4,2,2,2,575
27580180,Other,Entire home/apt,4,1,1,1,250
27584638,House,Private room,2,1,2,3,90
27598470,Other,Entire home/apt,6,3,3,3,280
27602262,Apartment,Entire home/apt,6,2,2,2,270
27604192,Apartment,Entire home/apt,4,3,3,3,235
27604325,Apartment,Entire home/apt,6,1,1,1,283
27608180,House,Private room,4,1,2,2,200
27608489,Other,Entire home/apt,4,1.5,1,1,211
27609254,Apartment,Entire home/apt,4,1,2,2,650
27609352,Other,Entire home/apt,4,1,1,1,365
27610705,Apartment,Private room,2,1,1,1,140
27611813,House,Entire home/apt,2,1,1,1,195
27627816,Other,Entire home/apt,6,1,1,2,150
27634232,Other,Entire home/apt,4,1,1,1,145
27639658,Apartment,Private room,1,1,1,1,42
27652652,Other,Entire home/apt,2,1,1,2,150
27665176,Other,Private room,3,1,1,2,99
27674344,Apartment,Entire home/apt,4,2,1,4,175
27680964,Apartment,Shared room,4,1,1,1,45
27698150,Apartment,Private room,2,2,2,2,160
27699365,Apartment,Entire home/apt,4,1,1,1,159
27701063,House,Private room,2,1,2,1,90
27701970,Other,Entire home/apt,4,1,1,1,225
27702037,House,Private room,2,1,1,1,100
27702297,House,Private room,2,1,1,1,100
27706337,House,Private room,2,1.5,2,2,129
27706376,Other,Entire home/apt,4,1,2,3,350
27707954,Apartment,Entire home/apt,6,5,1,1,1500
27710210,Other,Shared room,1,5,1,1,50
27713331,Other,Shared room,1,5,1,1,50
27714378,Other,Shared room,2,1,1,1,100
27725251,Apartment,Entire home/apt,2,1,1,1,349
27725598,House,Private room,3,1.5,1,1,190
27727846,House,Private room,2,2,3,4,120
27729286,Apartment,Entire home/apt,6,1,1,1,400
27729600,Apartment,Entire home/apt,3,1,1,1,142
27730425,House,Private room,1,1,2,2,80
27734387,Apartment,Entire home/apt,4,1,1,1,300
27735398,House,Private room,2,1,1,1,65
27742160,Apartment,Entire home/apt,2,1,1,2,170
27753881,Apartment,Entire home/apt,3,1,1,1,175
27759254,Other,Private room,1,1,1,1,85
27765343,Other,Private room,2,1,1,1,120
27766709,Other,Private room,3,1.5,1,1,130
27777839,House,Private room,2,1,1,2,60
27780282,Other,Entire home/apt,3,1,1,1,140
27787390,Other,Private room,2,1,1,1,89
27807924,House,Private room,2,1,0,1,60
27808088,Other,Entire home/apt,2,1,0,1,90
27826583,Other,Entire home/apt,2,1,1,2,125
27832283,House,Private room,2,2,1,1,100
27833309,Other,Entire home/apt,3,2,2,2,311
27838782,Apartment,Entire home/apt,4,1,1,1,150
27841696,Other,Private room,2,1,1,1,115
27842056,Apartment,Private room,2,1,1,1,160
27852325,House,Private room,2,2,2,2,94
27855141,House,Entire home/apt,4,1.5,2,3,325
27857184,Apartment,Entire home/apt,6,1,1,1,275
27866104,Apartment,Private room,2,1,0,1,54
27895671,Other,Entire home/apt,2,1.5,1,2,155
27898470,Other,Entire home/apt,4,2.5,3,3,200
27899334,House,Entire home/apt,6,2,1,1,100
27901261,House,Private room,1,2,4,4,62
27903069,House,Entire home/apt,9,1,1,1,399
27905010,House,Private room,2,1,1,1,199
27928375,House,Private room,2,1,0,1,125
27933930,Other,Entire home/apt,2,1,2,2,112
27934189,Apartment,Entire home/apt,4,1.5,1,1,550
27937727,House,Private room,3,1.5,1,1,190
27938375,House,Private room,2,1,1,1,150
27960744,Other,Entire home/apt,2,1,1,1,199
27961487,Other,Entire home/apt,2,1,1,1,200
27980774,Other,Private room,2,2,1,1,175
27984599,House,Private room,1,2,2,2,85
27987824,Other,Entire home/apt,4,1,1,1,209
27989150,House,Private room,1,1,1,1,500
28007148,House,Private room,2,1,1,2,75
28009722,Other,Private room,3,2.5,3,3,135
28028464,House,Entire home/apt,6,1,0,1,450
28050674,Other,Entire home/apt,2,1.5,1,1,95
28053384,Apartment,Private room,2,1,1,1,60
28055711,Other,Private room,2,1,1,2,200
28057844,Apartment,Private room,2,1,1,1,100
28074227,House,Private room,2,2,3,3,75
28079442,Apartment,Entire home/apt,6,1,1,2,420
28079540,Other,Entire home/apt,4,1,1,2,229
28079865,Other,Entire home/apt,4,1,1,1,229
28085987,Other,Entire home/apt,3,1.5,2,2,750
28105604,House,Entire home/apt,4,2,3,4,599
28108216,Apartment,Entire home/apt,9,1,1,1,230
28137005,House,Private room,2,1,1,1,1500
28139208,House,Private room,2,1,3,3,280
28157694,Other,Entire home/apt,5,1,1,1,280
28160772,Apartment,Entire home/apt,3,5,6,7,129
28178460,Other,Entire home/apt,15,1,1,1,1787
28181442,House,Private room,2,1,1,2,150
28182735,Other,Entire home/apt,4,1,1,2,229
28182805,Other,Entire home/apt,4,2,2,2,229
28183364,Apartment,Entire home/apt,4,1,2,2,218
28186675,Apartment,Private room,3,1.5,1,3,251
28189029,House,Private room,4,1.5,3,5,112
28200634,Apartment,Entire home/apt,6,1,1,1,175
28208579,House,Private room,2,1,1,1,140
28222183,House,Private room,2,1,0,1,72
28226145,Other,Entire home/apt,2,2,1,1,108
28251404,House,Entire home/apt,2,1,1,1,350
28261064,Other,Entire home/apt,2,1,1,1,85
28276600,Apartment,Private room,2,1,2,2,131
28279424,Apartment,Entire home/apt,2,1,1,1,140
28284827,Apartment,Private room,2,1,0,1,105
28310642,Other,Entire home/apt,2,1,1,1,95
28312747,Apartment,Private room,1,2,2,2,65
