id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value,reviews_per_month
1914841,115,94,9,9,2
1920033,557,97,10,9,8
1925206,111,96,10,9,3
1925714,35,97,10,9,1
1926253,162,97,10,10,3
1931763,162,92,9,9,3
1931788,102,98,10,10,2
1932019,115,99,10,10,2
1937575,19,95,10,10,0
1944564,188,99,10,9,3
1945508,61,98,10,10,1
1949446,55,99,10,10,1
1954514,81,95,10,10,1
1959880,96,95,10,9,2
1960773,2,100,10,10,0
1970257,39,99,10,10,1
1970756,23,88,9,9,0
1975404,97,97,10,9,1
1979461,14,100,10,10,0
1984709,295,98,10,10,4
1985338,167,97,10,10,3
1989997,266,98,10,10,4
1992217,311,98,10,10,5
1995487,480,99,10,10,7
1998111,353,95,10,10,5
2001534,5,96,10,9,0
2007101,26,93,10,9,0
2011311,23,84,9,8,0
2016198,281,93,10,9,4
2020393,43,96,10,9,1
2022751,16,100,10,9,0
2023326,4,100,10,10,0
2026910,123,99,10,9,2
2042095,254,97,10,10,4
2046552,40,99,10,10,1
2046634,344,96,10,9,5
2046807,131,89,9,9,2
2047469,363,94,10,10,6
2049672,21,96,10,9,0
2049955,160,98,10,9,2
2058119,82,96,10,10,1
2062696,110,98,10,10,2
2063077,19,98,10,9,0
2072098,27,96,10,10,0
2072133,13,93,10,9,0
2074584,171,96,10,9,3
2077982,118,90,10,9,2
2081536,37,96,10,10,1
2088622,336,96,10,9,5
2093695,51,94,10,9,1
2096756,41,98,10,10,1
2104437,43,95,10,9,1
2105840,93,96,10,9,1
2111361,93,98,10,9,1
2112336,43,99,10,10,1
2115503,212,96,10,10,5
2119773,323,96,10,10,5
2123469,180,96,10,9,3
2124182,105,97,10,10,2
2126868,204,94,10,10,3
2130640,17,98,10,10,0
2134475,356,98,10,9,5
2135871,7,97,10,10,0
2139562,127,92,10,9,2
2140313,27,97,10,9,0
2160504,279,98,10,10,4
2166428,143,95,10,10,2
2169208,57,98,10,10,1
2172308,95,97,10,9,2
2175930,95,98,10,9,2
2177440,30,99,10,9,1
2178509,378,98,10,10,6
2182851,291,95,10,9,4
2183138,37,93,10,9,1
2188561,22,95,10,10,0
2188919,228,94,10,9,4
2188976,257,94,10,9,4
2189514,27,98,10,9,0
2189814,10,92,10,10,0
2202505,33,91,10,9,1
2203283,323,96,10,10,5
2209751,185,99,10,10,5
2221057,88,98,10,10,2
2223743,169,92,10,9,3
2233416,25,99,10,10,0
2234256,13,88,10,10,0
2236226,93,94,9,9,1
2238488,40,99,10,10,1
2244652,94,89,9,8,1
2257205,36,88,9,8,1
2263794,121,99,10,10,5
2272343,162,95,9,9,3
2274353,228,95,10,10,4
2277754,96,98,10,9,1
2279254,13,100,10,10,0
2290365,16,99,10,10,1
2298930,41,99,10,10,1
2299196,21,93,10,9,0
2302408,49,97,10,10,1
2305039,85,97,10,10,2
2310518,3,87,10,9,0
2310765,20,99,10,9,0
2311428,5,100,10,9,0
2314849,5,96,10,9,0
2315086,284,98,10,9,4
2316478,127,95,9,9,2
2326228,29,97,10,9,0
2337552,1,100,10,10,0
2349483,222,98,10,10,4
2355859,73,98,10,10,1
2356554,234,96,10,10,4
2362619,64,97,10,10,1
2366182,23,87,9,8,0
2374361,16,98,10,10,0
2387068,72,97,10,10,1
2391772,55,87,9,8,1
2396847,308,97,10,9,5
2397852,83,99,10,10,2
2397858,45,99,10,10,1
2400409,138,98,10,9,2
2404647,12,90,9,8,0
2412158,36,92,10,9,1
2420887,19,100,10,10,4
2423948,1,100,10,10,0
2432104,50,94,10,9,1
2436213,21,99,10,10,0
2448356,248,98,10,10,4
2455313,54,96,10,9,1
2455325,190,96,10,9,3
2460904,40,93,10,10,1
2465543,16,99,10,10,0
2468125,13,98,10,10,0
2469485,6,100,10,10,0
2471457,214,97,10,9,3
2478558,7,97,10,10,0
2482884,41,98,10,10,1
2483759,109,95,10,9,2
2486953,114,97,10,9,2
2488520,93,99,10,10,2
2488837,63,94,10,9,1
2496086,200,97,10,10,4
2496719,4,100,10,10,0
2499257,20,96,10,9,0
2500662,4,90,9,9,0
2502368,74,97,10,9,1
2502543,20,91,10,9,0
2503408,32,97,10,10,1
2518781,374,98,10,10,6
2521327,23,87,9,9,0
2532756,18,82,9,8,0
2538807,216,96,10,10,3
2539953,121,98,10,9,2
2545771,16,100,10,10,0
2550991,32,91,9,9,1
2551994,63,97,9,9,1
2557977,152,99,10,10,3
2559297,38,88,9,9,1
2564006,17,86,9,8,0
2564140,20,87,9,9,0
2578122,171,98,10,10,3
2592518,220,98,10,9,4
2608516,27,98,10,10,0
2611820,16,94,10,9,0
2614717,57,96,10,9,1
2657854,6,88,10,10,0
2658295,15,100,10,9,0
2665028,28,99,10,10,0
2677273,116,98,10,10,2
2677288,322,98,10,10,5
2683857,29,95,10,9,0
2686530,56,98,10,10,1
2694526,164,96,10,9,3
2706776,57,98,10,10,1
2707422,17,99,10,10,0
2710372,11,95,10,10,0
2723005,44,99,10,9,1
2736358,275,96,10,9,4
2737894,24,95,10,9,0
2738331,122,92,10,9,2
2739477,153,98,10,10,3
2742151,90,94,9,9,1
2747383,138,96,10,9,2
2770268,183,94,9,9,3
2770561,140,94,10,9,2
2771128,156,96,10,9,3
2783251,204,97,10,9,3
2790637,46,100,10,9,1
2802418,256,95,10,9,4
2804417,13,98,10,9,0
2816626,9,100,10,10,0
2823227,35,96,10,9,1
2825966,86,94,9,9,1
2887744,185,99,10,10,3
2890120,31,95,10,9,1
2893920,12,96,10,9,0
2926901,44,98,10,10,1
2927781,156,99,10,10,3
2931587,2,60,7,5,0
2933105,154,98,10,10,3
2933899,24,98,10,10,0
2934290,18,97,9,9,0
2935400,6,97,9,9,0
2937902,18,100,10,10,0
2942149,94,98,10,10,2
2943327,19,95,10,9,0
2944266,9,98,10,9,0
2944843,410,97,10,10,7
2948159,52,99,10,10,1
2949071,4,93,10,10,0
2950592,28,100,10,9,2
2956406,415,98,10,10,7
2959323,10,92,10,10,0
2960229,24,98,10,9,0
2965433,45,97,10,9,1
2968738,83,98,10,9,1
2970253,5,100,10,10,0
2980184,5,90,10,8,0
2980416,10,100,10,10,0
2980482,21,91,10,9,0
2984463,289,98,10,10,5
3013427,62,97,10,10,1
3013520,24,86,10,9,0
3015450,195,97,10,10,5
3028924,27,99,10,10,1
3029597,162,98,10,10,3
3030653,400,96,10,9,7
3042811,27,100,10,10,0
3043102,104,94,10,9,2
3053443,3,100,10,10,0
3073038,76,98,10,9,1
3073393,160,94,10,9,3
3079665,36,95,10,9,1
3079929,32,99,10,10,1
3081324,117,93,10,9,2
3081560,175,100,10,10,3
3082327,359,97,10,10,6
3084671,6,100,10,10,0
3093070,15,96,10,9,1
3093543,237,97,10,10,4
3096080,31,99,10,10,1
3102139,12,100,10,10,1
3105361,42,95,10,9,1
3105998,20,99,10,9,0
3112427,140,97,10,10,2
3116428,22,96,10,9,0
3116974,113,99,10,10,2
3122882,135,99,10,10,2
3123536,99,98,10,10,2
3124541,264,99,10,10,4
3133266,60,98,10,9,1
3157463,17,99,10,10,0
3157541,142,96,10,10,2
3163839,4,100,10,10,0
3175769,5,100,10,9,0
3182798,108,96,10,9,2
3183280,35,99,10,9,1
3200340,26,93,10,8,0
3200431,14,96,10,9,0
3201044,28,98,10,9,0
3205059,102,96,10,10,2
3218306,188,98,10,10,3
3219450,1,100,10,10,0
3225725,12,90,10,9,0
3240016,161,97,10,9,3
3250486,72,98,10,10,1
3257886,453,95,10,10,8
3257979,219,96,10,10,4
3261876,117,97,10,10,2
3262216,5,100,10,10,0
3263219,27,99,10,10,0
3271517,213,98,10,10,4
3277849,168,95,10,9,3
3280443,6,100,10,10,0
3283447,201,97,10,9,4
3284042,20,98,10,10,0
3290706,115,98,10,9,2
3290739,294,97,10,10,5
3292643,20,99,10,10,0
3293492,17,92,10,9,0
3309722,336,97,10,9,6
3311711,348,98,10,10,6
3312490,104,97,10,10,2
3319447,203,96,10,9,3
3325741,426,97,10,9,7
3333870,179,100,10,10,3
3333937,8,98,10,10,0
3343629,5,92,10,8,0
3344631,134,91,9,9,2
3354004,34,93,10,9,1
3354928,105,90,10,9,2
3355334,32,100,10,10,1
3376512,43,98,10,9,1
3376895,231,96,10,9,4
3377936,27,98,10,10,1
3384413,81,96,10,9,1
3385880,14,93,10,9,0
3391368,129,97,10,10,2
3395051,6,100,10,10,0
3402610,99,98,10,10,3
3404981,158,88,9,9,3
3415171,84,94,9,9,1
3416013,324,99,10,9,6
3419211,3,93,10,10,0
3433930,184,99,10,10,3
3434710,32,99,10,9,1
3441517,134,99,10,10,3
3441949,29,100,10,10,1
3442439,113,100,10,10,7
3465396,26,96,10,10,1
3469030,40,97,10,9,1
3469254,9,100,10,10,0
3476601,2,100,9,9,0
3479568,22,96,10,9,1
3482655,38,93,10,9,1
3486460,306,97,10,10,5
3506164,337,98,10,9,6
3511756,48,93,10,9,1
3519611,21,98,10,10,0
3520817,40,97,10,10,1
3522990,27,97,10,10,1
