id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_days_active,time_since_first_review,time_since_last_review
12522,5/22/2009,within an hour,100%,1,1,1,1,Castro/Upper Market,Apartment,Private room,1,1,1,1,79,3,27,4 days ago,4,7,15,15,398,37,1/14/2010,98,10,10,10,10,10,10,1,1,0,1,0,3.48,3663,4+ years,18
12584,10/29/2009,within a few hours,100%,1,1,1,1,Inner Sunset,Other,Entire home/apt,3,1,2,3,166,30,367,6 months ago,0,0,0,269,16,2,10/14/2012,95,9,9,9,9,9,9,0,1,1,0,0,0.2,3503,4+ years,196
14125,11/18/2009,within a day,100%,0,1,1,1,Mission,Apartment,Entire home/apt,3,1,1,2,215,3,10,4 days ago,5,13,27,273,108,19,1/18/2010,97,10,9,10,10,10,9,0,1,1,0,0,0.95,3483,4+ years,30
17132,10/4/2009,within a day,100%,0,3,3,1,South of Market,Other,Entire home/apt,4,2,2,2,450,60,365,a week ago,0,0,14,289,14,0,12/11/2010,96,10,10,10,10,10,9,0,1,1,0,0,0.14,3528,4+ years,976
18904,1/21/2010,within a few hours,100%,1,3,3,1,Western Addition,Other,Private room,2,1,1,1,110,3,29,yesterday,11,27,51,51,373,61,12/5/2011,97,10,10,10,10,10,10,0,2,0,2,0,4.09,3419,4+ years,14
21334,2/15/2010,within an hour,100%,1,1,1,1,Nob Hill,Other,Entire home/apt,2,1,1,1,125,30,30,7 weeks ago,12,42,72,325,119,12,5/13/2010,98,10,10,10,10,10,10,0,1,1,0,0,1.08,3394,4+ years,117
21914,6/17/2009,within a few hours,100%,0,10,10,1,Haight Ashbury,Apartment,Private room,2,4,1,1,65,32,90,24 months ago,4,4,29,304,14,0,9/18/2011,78,8,8,10,10,10,7,0,9,0,9,0,0.15,3637,4+ years,655
23611,5/25/2009,within an hour,100%,1,3,3,1,Bernal Heights,Other,Private room,1,0.5,1,1,100,3,29,5 days ago,24,54,84,359,241,28,4/19/2010,98,10,10,10,10,10,10,1,2,1,1,0,2.17,3660,4+ years,9
23630,3/14/2010,within an hour,100%,1,1,1,1,Castro/Upper Market,House,Entire home/apt,2,1,1,1,155,3,14,2 months ago,1,4,10,226,366,48,6/16/2010,97,10,10,10,10,10,10,0,1,1,0,0,3.35,3367,4+ years,11
24450,3/25/2010,within an hour,100%,1,1,1,0,Noe Valley,Apartment,Entire home/apt,3,1,1,2,180,3,28,yesterday,3,4,11,52,229,40,4/26/2010,92,10,9,10,10,10,9,0,1,1,0,0,2.07,3356,4+ years,21
24463,3/26/2010,within an hour,100%,1,2,2,1,Potrero Hill,Apartment,Private room,2,1,1,1,155,2,29,2 months ago,7,34,64,145,278,37,5/31/2010,97,10,10,10,10,10,9,0,2,1,1,0,2.53,3355,4+ years,28
24723,3/29/2010,within an hour,90-99%,1,2,2,1,Western Addition,Other,Entire home/apt,4,1,1,2,195,5,31,6 days ago,3,9,18,39,291,50,4/9/2010,96,10,10,10,10,10,10,1,2,2,0,0,2.61,3352,4+ years,4
25094,4/4/2010,within a few hours,100%,1,1,1,1,Noe Valley,House,Private room,2,1,1,1,150,5,28,5 weeks ago,19,48,78,353,29,16,6/21/2016,99,10,10,10,10,10,10,0,1,0,1,0,0.81,3346,2-3 years,33
25463,1/21/2010,within a few hours,100%,1,3,3,1,Western Addition,Other,Private room,2,1,1,1,110,3,29,today,0,17,39,39,409,53,10/26/2010,98,10,10,10,10,10,10,0,2,0,2,0,3.91,3419,4+ years,3
25662,4/9/2010,within a few hours,100%,1,1,1,1,Potrero Hill,House,Private room,3,1,0,1,125,4,180,2 months ago,4,26,43,297,300,28,7/17/2010,95,10,10,10,10,10,10,0,1,0,1,0,2.78,3341,4+ years,18
25927,4/15/2010,within an hour,100%,1,3,3,1,Western Addition,House,Private room,2,1.5,1,1,110,2,364,5 weeks ago,26,56,86,361,78,18,5/21/2012,92,10,9,10,10,10,9,0,3,0,3,0,0.91,3335,4+ years,71
