id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_days_active,time_since_first_review,time_since_last_review
25927,2010-04-15,within an hour,100%,1,3,3,1,Western Addition,House,Private room,2,1.5,1.0,1.0,$110.00 ,2,364,26,56,86,361,78,2012-05-21,92.0,10.0,9.0,10.0,10.0,10.0,9.0,STR-0002133,0,3,0,3,0,3335.0,4+ years,2-8 weeks
26408,2010-04-20,within an hour,100%,0,2,2,1,Western Addition,Apartment,Entire home/apt,10,2,4.0,7.0,$450.00 ,3,30,5,8,8,8,32,2011-07-30,90.0,9.0,8.0,9.0,9.0,9.0,9.0,1083207,1,1,1,0,0,3330.0,4+ years,2-8 weeks
27025,2010-04-29,,unknown,0,1,1,1,Castro/Upper Market,Apartment,Entire home/apt,2,1,1.0,1.0,$150.00 ,30,1125,23,29,49,203,129,2010-05-14,100.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000128,0,1,1,0,0,3321.0,4+ years,6-12 months
27028,2009-01-27,within an hour,100%,1,2,2,0,Mission,Apartment,Private room,4,1,1.0,2.0,$199.00 ,1,29,0,22,22,22,25,2015-05-04,96.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000028,1,2,0,2,0,3778.0,4+ years,2-6 months
29373,2010-05-16,within an hour,100%,1,3,3,1,Bernal Heights,House,Entire home/apt,4,2,2.0,2.0,$220.00 ,4,70,0,0,0,16,13,2011-07-19,97.0,10.0,10.0,10.0,10.0,9.0,10.0,STR-0000280,0,2,1,1,0,3304.0,4+ years,2-8 weeks
29557,2010-05-16,within a few hours,100%,0,1,1,1,Outer Richmond,Apartment,Entire home/apt,4,1,1.0,2.0,$155.00 ,2,30,0,1,4,221,44,2010-08-17,99.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0001135,0,1,1,0,0,3304.0,4+ years,0-2 weeks
32414,2010-06-07,,unknown,0,1,1,0,Bernal Heights,Apartment,Entire home/apt,2,1,1.0,2.0,$150.00 ,30,30,14,14,14,200,93,2010-07-11,96.0,10.0,10.0,10.0,10.0,9.0,9.0,City registration pending,0,1,1,0,0,3282.0,4+ years,6-12 months
39174,2010-05-18,within a few hours,100%,0,35,35,1,Noe Valley,House,Entire home/apt,2,1,1.0,2.0,$107.00 ,30,1125,14,14,14,275,20,2011-09-06,96.0,9.0,10.0,10.0,10.0,10.0,9.0,,0,21,21,0,0,3302.0,4+ years,6-12 months
39418,2010-07-17,within a day,100%,0,2,2,1,Bernal Heights,Apartment,Entire home/apt,2,1,0.0,1.0,$94.00 ,60,730,0,0,11,286,21,2011-08-08,98.0,10.0,10.0,10.0,10.0,10.0,9.0,,0,2,2,0,0,3242.0,4+ years,6-12 months
40138,2010-07-19,within a few hours,100%,0,1,1,1,Presidio Heights,Apartment,Private room,1,1,1.0,1.0,$83.00 ,30,100,3,3,17,292,136,2010-11-28,96.0,10.0,9.0,10.0,10.0,10.0,9.0,,0,1,0,1,0,3240.0,4+ years,2-8 weeks
